Season Start Year,League,Team,Info,Name,Age,POS,CM,KG,Apps Combined,Apps,Starts,Subs,Mins,Goal,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Skills
2013,La Liga,Athletic Club,Gorka Iraizoz Athletic Club/33/GK ,Gorka Iraizoz (2013),32,Keeper,191,87,33,33,33,0,2926,0,-,-,-,-,52.7,0.3,-,6.72,null
2013,La Liga,Athletic Club,Kike Sola Athletic Club/28/FW ,Kike Sola (2013),27,Forward,185,82,2(3),5,2,3,226,1,-,-,-,1.4,61.5,2.2,-,6.72,null
2013,La Liga,Athletic Club,Enric Saborit Athletic Club/22/D ,Enric Saborit (2013),21,Defender,186,72,2(3),5,2,3,192,0,-,1,-,0.4,85.2,3.2,-,6.7,null
2013,La Liga,Athletic Club,Óscar De Marcos Athletic Club/25/D(LR)^M(CLR) ,Óscar De Marcos (2013),24,Defender,180,76,19(16),35,19,16,1964,5,2,3,-,0.9,72.5,0.9,-,6.64,null
2013,La Liga,Athletic Club,Iago Herrerín Athletic Club/26/GK ,Iago Herrerín (2013),25,Keeper,187,90,5(1),6,5,1,495,0,-,1,-,-,61.5,0.7,-,6.61,null
2013,La Liga,Athletic Club,Beñat Athletic Club/27/M(C) ,Beñat (2013),26,Midfielder,175,72,12(11),23,12,11,1029,1,3,4,-,0.7,83.3,0.4,-,6.56,null
2013,La Liga,Athletic Club,Guillermo Athletic Club/21/FW ,Guillermo (2013),20,Forward,181,74,4(5),9,4,5,324,1,-,-,-,1.4,65.2,1.9,-,6.34,null
2013,La Liga,Athletic Club,Gaizka Toquero Athletic Club/30/AM(CR)^FW ,Gaizka Toquero (2013),29,Forward,182,78,5(15),20,5,15,583,0,1,4,-,0.9,56.7,1.6,-,6.3,null
2013,La Liga,Athletic Club,Erik Morán Athletic Club/23/DM(C) ,Erik Morán (2013),22,Midfielder,187,74,4(10),14,4,10,586,0,-,3,1,0.3,82.5,0.9,-,6.22,null
2013,La Liga,Athletic Club,Unai Albizua Athletic Club/25/D ,Unai Albizua (2013),24,Defender,181,79,0(4),4,0,4,34,0,-,-,-,-,66.7,0.3,-,6.2,null
2013,La Liga,Athletic Club,Borja Ekiza Athletic Club/26/D(C) ,Borja Ekiza (2013),25,Defender,180,73,1,1,1,0,39,0,-,-,-,-,90.5,-,-,6.13,null
2013,La Liga,Sevilla,Ivan Rakitic Sevilla/26/M(C) ,Ivan Rakitic (2013),25,Midfielder,184,75,29(5),34,29,5,2705,12,10,7,-,2.4,79.7,1.2,6,7.61,null
2013,La Liga,Sevilla,Federico Fazio Sevilla/27/D(C)^DM(C) ,Federico Fazio (2013),26,Defender,195,85,27,27,27,0,2389,2,1,8,-,0.6,77.1,4.4,1,7.41,Defending
2013,La Liga,Sevilla,Stéphane Mbia Sevilla/28/D(C)^DM(C) ,Stéphane Mbia (2013),27,Defender,189,82,18(1),19,18,1,1530,3,4,6,1,1.1,83.5,1.9,-,7.22,null
2013,La Liga,Sevilla,Vicente Iborra Sevilla/26/DM(C) ,Vicente Iborra (2013),25,Midfielder,195,88,25(2),27,25,2,2136,3,2,11,1,0.9,76.9,4,2,7.18,null
2013,La Liga,Sevilla,Daniel Carriço Sevilla/26/D(C)^DM(C) ,Daniel Carriço (2013),25,Defender,180,80,22,22,22,0,1941,2,-,8,-,0.8,80.4,2.2,2,7.17,null
2013,La Liga,Sevilla,Coke Sevilla/27/D(R) ,Coke (2013),26,Defender,176,72,23(2),25,23,2,2081,3,1,7,-,0.9,77,1.9,3,7.07,null
2013,La Liga,Sevilla,Cotán Sevilla/19/M ,Cotán (2013),18,Midfielder,176,67,2,2,2,0,180,0,-,1,-,-,90.3,2,-,7.06,null
2013,La Liga,Sevilla,Javi Varas Sevilla/32/GK ,Javi Varas (2013),31,Keeper,182,73,5(1),6,5,1,495,0,-,-,-,-,55.9,0.3,1,7,Goalkeeping
2013,La Liga,Sevilla,Vitolo Sevilla/24/AM(LR) ,Vitolo (2013),23,Midfielder,184,79,25(4),29,25,4,2208,4,6,6,-,1.2,80.6,0.6,1,6.99,null
2013,La Liga,Sevilla,Carlos Bacca Sevilla/28/FW ,Carlos Bacca (2013),27,Forward,181,77,27(8),35,27,8,2331,14,5,4,-,1.9,67,1.1,3,6.99,null
2013,La Liga,Sevilla,Alberto Moreno Sevilla/22/D(L)^M(L) ,Alberto Moreno (2013),21,Defender,170,65,27(2),29,27,2,2418,3,-,5,1,0.8,78.9,0.9,2,6.92,null
2013,La Liga,Sevilla,Nico Pareja Sevilla/30/D(C) ,Nico Pareja (2013),29,Defender,181,74,23(2),25,23,2,1972,0,1,4,-,0.2,78,2.6,-,6.89,null
2013,La Liga,Sevilla,Reyes Sevilla/31/AM(CLR) ,Reyes (2013),30,Midfielder,176,72,15(6),21,15,6,1204,0,6,5,-,1.1,68.7,0.5,-,6.81,null
2013,La Liga,Sevilla,Diego Perotti Sevilla/26/AM(CLR) ,Diego Perotti (2013),25,Midfielder,179,70,3(7),10,3,7,404,1,1,2,-,1.1,86.4,0.2,-,6.79,null
2013,La Liga,Sevilla,Kevin Gameiro Sevilla/27/FW ,Kevin Gameiro (2013),26,Forward,178,72,20(15),35,20,15,1900,15,3,2,-,1.5,78.2,0.2,3,6.77,null
2013,La Liga,Sevilla,Beto Sevilla/32/GK ,Beto (2013),31,Keeper,182,81,33,33,33,0,2927,0,-,3,-,-,55.9,0.4,1,6.76,null
