Season Start Year,League,Team,Name,Age,POS,CM,KG,Apps Combined,Apps,Starts,Subs,Mins,Goal,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2012,La Liga,Real Betis,Nacho9412,32,D(L) ,176,70,26(4),30,26,4,2364,-,6,11,-,0.1,74.9,1.6,1,7.13
2012,La Liga,Real Betis,Rub_n Castro,31,AM(CLR)^FW ,174,72,32(2),34,32,2,2949,18,7,3,-,2.3,75.8,0.3,3,7.05
2012,La Liga,Real Betis,Be–at,25,M(C) ,175,72,33(1),34,33,1,2874,4,8,16,-,1.7,78.8,0.6,2,7.03
2012,La Liga,Real Betis,Mario14215,30,D(C) ,178,75,19(1),20,19,1,1601,1,-,-,1,0.3,82.9,1.7,1,7.02
2012,La Liga,Real Betis,Antonio Amaya,29,D(C) ,192,86,26(2),28,26,2,2428,-,-,6,2,0.4,78.3,3.4,-,7.01
2012,La Liga,Real Betis,Paulao,30,D(C) ,186,82,19(3),22,19,3,1743,2,-,6,-,0.6,87.4,2.5,2,6.98
2012,La Liga,Real Betis,Adri‡n73399,25,GK ,190,80,31(1),32,31,1,2868,-,-,5,-,-,47.7,0.5,1,6.91
2012,La Liga,Real Betis,Jorge Molina,30,FW ,189,83,22(10),32,22,10,2130,13,2,3,-,1.8,69.7,1.9,3,6.88
2012,La Liga,Real Betis,Eder Vilarchao,22,M ,183,62,0(1),1,0,1,33,-,-,-,-,1,82.6,2,-,6.77
2012,La Liga,Real Betis,Rub_n P_rez,23,DM(C) ,178,72,18(7),25,18,7,1654,1,-,10,1,0.4,76.5,1.1,-,6.76
2012,La Liga,Real Betis,Jos_ Ca–as,25,DM(C) ,177,71,26(1),27,26,1,2268,-,1,10,-,0.5,80.3,1,-,6.76
2012,La Liga,Real Betis,çngel4674,31,D(R) ,180,71,8(3),11,8,3,739,1,-,3,-,0.1,76,0.7,-,6.75
2012,La Liga,Real Betis,çlex Mart’nez,22,D(L) ,176,64,11(2),13,11,2,1037,-,1,1,-,0.2,76.2,0.7,-,6.72
2012,La Liga,Real Betis,Salva Sevilla,28,AM(CLR) ,178,71,15(2),17,15,2,1115,2,1,3,-,1,79,0.4,-,6.7
2012,La Liga,Real Betis,Fabricio,24,GK ,184,79,2,2,2,0,180,-,-,-,-,-,50.8,0.5,-,6.69
2012,La Liga,Real Betis,Joel Campbell,20,AM(LR)^FW ,178,71,21(7),28,21,7,1643,2,3,7,1,1.5,67.5,1.1,1,6.68
2012,La Liga,Real Betis,Juan Carlos106874,22,D(L)^M(L) ,179,72,21(4),25,21,4,1531,-,3,4,-,0.8,69.3,0.8,1,6.68
2012,La Liga,Real Betis,Chechu Dorado,30,D(C) ,180,69,5(2),7,5,2,496,-,-,1,-,0.1,68.8,1,-,6.67
2012,La Liga,Real Betis,N_lson,29,D(R) ,172,64,10,10,10,0,899,-,-,2,-,0.4,75.7,0.8,-,6.67
2012,La Liga,Real Betis,Javi Chica,27,D(LR) ,175,77,21(1),22,21,1,1896,-,1,4,-,0.8,73.8,0.7,-,6.66
2012,La Liga,Real Betis,Nosa,21,M(C) ,182,78,7(9),16,7,9,578,1,1,2,-,0.4,79.3,1.1,-,6.6
2012,La Liga,Real Betis,Damien Perquis,28,D(C)^DM(C) ,183,74,7(3),10,7,3,695,-,-,2,1,0.5,81.8,2.4,-,6.58
2012,La Liga,Real Betis,çlvaro Vadillo,18,AM(LR) ,180,63,3(11),14,3,11,501,-,2,3,-,0.5,70.7,0.9,-,6.54
2012,La Liga,Real Betis,Salvador Agra,20,AM(R) ,166,60,7(3),10,7,3,517,1,-,3,-,1,71.6,0.2,-,6.51
2012,La Liga,Real Betis,Fusto Tienza,22,D ,183,75,0(1),1,0,1,4,-,-,-,-,-,50,-,-,6.43
2012,La Liga,Real Betis,Sergio Rodr’guez,20,M ,169,65,0(1),1,0,1,12,-,-,-,-,-,86.4,-,-,6.4
2012,La Liga,Real Betis,Jonathan Pereira,25,AM(L)^FW ,166,61,1(5),6,1,5,247,-,1,2,-,0.7,66.3,0.2,-,6.38
2012,La Liga,Real Betis,Nono,19,DM(C) ,178,72,4(11),15,4,11,590,-,-,3,-,0.5,78.6,0.3,-,6.35
2012,La Liga,Real Betis,çlex Pozuelo,21,AM(CR) ,170,63,4(7),11,4,7,432,1,-,1,-,0.6,82.4,0.2,-,6.33
2012,La Liga,Real Betis,Casto,30,GK ,182,78,5,5,5,0,450,-,-,2,1,-,51.5,-,-,6.31
2012,La Liga,Real Betis,Guillermo Molins,24,M ,186,81,0(4),4,0,4,49,-,-,-,-,0.8,92.9,-,-,6.08
2012,La Liga,Real Betis,Carlos Garc’a,19,M ,165,48,0(1),1,0,1,1,-,-,-,-,-,75,-,-,6
2012,La Liga,Rayo Vallecano,Piti,31,AM(CLR) ,179,79,33(2),35,33,2,2850,18,2,9,-,3.2,69.7,0.9,4,7.13
2012,La Liga,Rayo Vallecano,Nacho121544,23,D(L) ,175,76,8(2),10,8,2,749,1,1,3,-,0.4,74.1,0.6,1,7.12
2012,La Liga,Rayo Vallecano,Roberto Trashorras,31,M(CR) ,177,70,31(4),35,31,4,2735,1,4,6,-,1.5,85.4,0.3,1,7.04
2012,La Liga,Rayo Vallecano,Casado,26,D(L) ,173,72,28,28,28,0,2301,-,4,11,1,0.5,74.3,1.1,2,7.04
2012,La Liga,Rayo Vallecano,Alejandro G‡lvez,23,D(C)^DM(C) ,190,79,24(4),28,24,4,2246,-,-,11,1,0.4,82,2.8,1,7
2012,La Liga,Rayo Vallecano,Leo Baptistao,20,AM(CR)^FW ,181,71,26(2),28,26,2,2263,7,6,5,-,2.1,75.5,1.9,3,6.98
2012,La Liga,Rayo Vallecano,Jordi Figueras,25,D(C) ,185,82,13(1),14,13,1,1186,-,1,4,-,0.4,83.7,1.9,-,6.87
2012,La Liga,Rayo Vallecano,Javi Fuego,28,DM(C) ,181,76,36,36,36,0,3221,-,1,14,-,0.5,82.8,1.6,1,6.86
2012,La Liga,Rayo Vallecano,Rub_n Mart’nez,28,GK ,187,80,29(1),30,29,1,2633,-,-,8,1,-,59.8,0.4,3,6.79
2012,La Liga,Rayo Vallecano,Anaitz Arbilla,25,D(CLR) ,178,76,8(3),11,8,3,791,-,-,1,-,0.6,81.1,1.4,-,6.76
2012,La Liga,Rayo Vallecano,Jordi Amat,20,D(C) ,184,78,26(1),27,26,1,2210,1,-,12,-,0.3,81.1,1.4,-,6.74
2012,La Liga,Rayo Vallecano,Jos_ Carlos,25,M(LR) ,177,68,21(11),32,21,11,2127,2,1,4,-,1.7,78,0.5,1,6.73
2012,La Liga,Rayo Vallecano,Tito,27,D(CR) ,174,62,31(2),33,31,2,2750,1,1,9,-,0.5,75.1,1.2,-,6.66
2012,La Liga,Rayo Vallecano,David Cobe–o,30,GK ,185,82,8,8,8,0,699,-,-,1,-,-,66.7,-,-,6.64
2012,La Liga,Rayo Vallecano,Alejandro Dom’nguez,31,AM(C)^FW ,175,71,32(1),33,32,1,2736,5,5,12,-,1.8,76.6,0.1,1,6.62
2012,La Liga,Rayo Vallecano,Lass,20,AM(LR) ,174,71,20(12),32,20,12,1788,3,5,6,-,1.9,72.2,0.3,1,6.53
2012,La Liga,Rayo Vallecano,Alberto Perea,21,AM(R) ,177,67,1(3),4,1,3,142,-,-,-,-,0.3,85.3,0.3,-,6.52
2012,La Liga,Rayo Vallecano,Franco V‡zquez,23,AM(CR) ,187,87,8(10),18,8,10,757,3,-,2,-,1,75.8,0.5,-,6.49
2012,La Liga,Rayo Vallecano,Andrija Delibasic,31,FW ,187,84,11(21),32,11,21,1255,6,1,6,-,0.8,73.5,1.2,-,6.43
2012,La Liga,Rayo Vallecano,Rodri11231,28,D(C) ,185,81,3(1),4,3,1,215,-,-,2,-,0.5,78.2,1.5,-,6.35
2012,La Liga,Rayo Vallecano,Adri‡n16672,24,M(CL) ,184,75,8(13),21,8,13,797,-,1,5,-,1,77.3,0.9,-,6.32
2012,La Liga,Rayo Vallecano,Nicki Bille,24,FW ,181,76,4(5),9,4,5,396,-,-,1,-,1.1,75.6,1,-,6.26
2012,La Liga,Rayo Vallecano,Mikel Labaka,32,D(C) ,185,79,7(3),10,7,3,669,-,-,4,1,0.3,75.7,2.4,-,6.24
2012,La Liga,Rayo Vallecano,Isi,17,M ,173,66,0(1),1,0,1,5,-,-,-,-,-,75,-,-,6.11
2012,La Liga,Rayo Vallecano,Daniel Gim_nez,29,GK ,182,77,1(1),2,1,1,109,-,-,-,-,-,56.7,0.5,-,6.08
2012,La Liga,Rayo Vallecano,Raœl Tamudo,35,FW ,180,74,0(4),4,0,4,56,1,-,-,-,0.8,90.9,0.3,-,6.06
2012,La Liga,Rayo Vallecano,Rub_n Ramiro,19,FW ,176,70,0(1),1,0,1,27,-,-,-,-,-,44.4,-,-,6.06
2012,La Liga,Rayo Vallecano,Manuel Arana,27,AM(R) ,175,73,0(2),2,0,2,14,-,-,-,-,-,62.5,0.5,-,6.05
2012,La Liga,Rayo Vallecano,Mohammed Abu,20,DM(C) ,176,75,1,1,1,0,62,-,-,-,-,-,70,-,-,5.6
2012,La Liga,Sevilla,Ivan Rakitic,24,M(C) ,184,75,34,34,34,0,2981,8,10,8,2,1.8,78.7,1,4,7.4
2012,La Liga,Sevilla,çlvaro Negredo,27,FW ,186,87,34(2),36,34,2,3043,25,1,3,-,4.2,64.2,3.6,5,7.3
2012,La Liga,Sevilla,Emir Spahic,32,D(C) ,186,81,22,22,22,0,1961,1,-,10,-,0.5,81.7,3.5,2,7.27
2012,La Liga,Sevilla,Federico Fazio,25,D(C)^DM(C) ,195,85,25(1),26,25,1,2208,3,-,5,2,1.2,80,3.5,-,7.1
2012,La Liga,Sevilla,Jesœs Navas,26,AM(CR) ,170,60,37,37,37,0,3318,-,6,5,-,2.2,80.1,0.3,-,7.04
2012,La Liga,Sevilla,Coke,25,D(R) ,176,72,19(2),21,19,2,1576,3,4,4,1,0.6,78.3,1,1,6.99
2012,La Liga,Sevilla,Juli‡n,21,GK ,196,95,1,1,1,0,90,-,-,-,-,-,61.5,-,-,6.97
2012,La Liga,Sevilla,Reyes,29,AM(CLR) ,176,72,21(6),27,21,6,1828,4,6,1,2,1.5,77,0.6,1,6.93
2012,La Liga,Sevilla,Alberto Moreno,20,D(L)^M(L) ,170,65,12(3),15,12,3,1107,-,1,5,-,0.4,78,0.7,1,6.93
2012,La Liga,Sevilla,Piotr Trochowski,28,M(CLR) ,169,72,6,6,6,0,450,2,-,-,-,1.5,80.3,0.7,-,6.91
2012,La Liga,Sevilla,Gary Medel,25,D(C)^DM(C) ,172,71,31(1),32,31,1,2738,6,3,7,3,1,87.5,0.9,1,6.88
2012,La Liga,Sevilla,Cicinho,26,D(R) ,174,63,19(8),27,19,8,1727,1,2,5,-,0.6,79.8,0.2,2,6.88
2012,La Liga,Sevilla,Beto,30,GK ,182,81,14,14,14,0,1260,-,-,-,-,-,67.4,0.1,-,6.83
2012,La Liga,Sevilla,Geoffrey Kondogbia,19,DM(C) ,188,80,23(8),31,23,8,1941,1,1,4,-,0.7,87,1.1,1,6.83
2012,La Liga,Sevilla,Fernando Navarro,30,D(CL) ,176,70,35,35,35,0,3140,-,1,10,1,0.1,79,1.6,-,6.72
2012,La Liga,Sevilla,Cala,22,D(C) ,180,76,9(2),11,9,2,813,-,-,5,-,0.6,81.8,2,1,6.7
2012,La Liga,Sevilla,Andr_s Palop,39,GK ,184,75,15(1),16,15,1,1405,-,-,1,-,-,67.5,0.4,2,6.69
2012,La Liga,Sevilla,Alberto Bot’a,23,D(C) ,187,80,14(4),18,14,4,1363,1,-,11,-,0.3,78.5,0.9,-,6.58
2012,La Liga,Sevilla,Diego Perotti,24,AM(CLR) ,179,70,8(10),18,8,10,839,-,-,2,-,0.4,84,0.3,-,6.56
2012,La Liga,Sevilla,Hedwiges Maduro,27,D(C)^DM(C) ,185,79,16(10),26,16,10,1333,-,-,2,1,-,86.5,0.7,-,6.33
2012,La Liga,Sevilla,Bryan Rabello,18,M ,163,60,0(3),3,0,3,104,-,-,-,-,0.3,93.4,-,-,6.33
2012,La Liga,Sevilla,Manu del Moral,28,AM(CLR)^FW ,185,84,7(15),22,7,15,777,1,-,2,-,0.9,75.2,0.4,-,6.32
2012,La Liga,Sevilla,Miroslav Stevanovic,22,M ,180,72,0(7),7,0,7,105,-,-,-,-,0.7,85.2,-,-,6.24
2012,La Liga,Sevilla,Jos_ Campa–a,19,DM(C) ,179,74,3(2),5,3,2,190,-,-,2,-,0.8,82.1,-,-,6.19
2012,La Liga,Sevilla,Bab‡,24,FW ,185,76,5(14),19,5,14,623,-,-,1,-,1.3,76.1,0.8,-,6.15
2012,La Liga,Sevilla,Israel Puerto,19,D ,187,74,0(2),2,0,2,25,-,-,-,-,-,-,0.5,-,6.13
2012,La Liga,Sevilla,Alex Rubio,19,FW ,182,76,0(2),2,0,2,26,-,-,-,-,-,28.6,-,-,6.12
2012,La Liga,Sevilla,Javi Herv‡s,23,M ,176,78,1(8),9,1,8,151,-,-,1,-,0.3,81.9,0.3,-,6.06
2012,La Liga,Sevilla,Antonio Luna,21,D(L)^M(L) ,178,70,2(3),5,2,3,197,-,-,1,1,-,65.6,-,-,5.96
2012,La Liga,Sevilla,Diego L—pez,30,GK ,196,88,8,8,8,0,720,-,-,-,1,-,64.4,0.4,-,5.94
2012,La Liga,Getafe,Sergio Escudero,23,D(L) ,176,72,9,9,9,0,789,1,-,-,-,1.2,66.5,1.3,2,7.59
2012,La Liga,Getafe,Pedro Le—n,25,AM(R) ,183,71,26(3),29,26,3,2318,3,7,4,1,2.6,69.1,0.4,3,7.17
2012,La Liga,Getafe,Jordi Codina,30,GK ,189,81,6(1),7,6,1,618,-,-,1,-,-,50.6,0.3,-,7.14
2012,La Liga,Getafe,Federico Fern‡ndez,23,D(C) ,190,83,13(1),14,13,1,1191,1,1,5,1,0.4,65.4,2.4,1,7.1
2012,La Liga,Getafe,Abdel Barrada,23,AM(CLR) ,185,78,30(2),32,30,2,2610,4,6,4,1,1.3,74.8,1.4,4,7.07
2012,La Liga,Getafe,Juan Rodr’guez,30,M(CR) ,185,72,7(2),9,7,2,539,2,1,1,-,0.8,76.7,3.7,1,7.04
2012,La Liga,Getafe,Rafa,27,D(C) ,179,72,16(3),19,16,3,1573,1,-,6,-,0.6,83.8,1.9,-,6.96
2012,La Liga,Getafe,Moy‡,28,GK ,189,82,32,32,32,0,2880,-,-,1,1,-,60.7,0.3,2,6.92
2012,La Liga,Getafe,Juan Valera,27,D(R) ,184,76,30,30,30,0,2594,2,-,8,-,0.5,69.9,3.6,-,6.88
2012,La Liga,Getafe,Borja,31,M(C) ,185,73,14(2),16,14,2,1141,1,1,8,1,0.3,72.1,1.9,-,6.82
2012,La Liga,Getafe,Alexis,27,D(CL) ,183,75,25(1),26,25,1,2259,3,-,11,2,0.4,75.9,1.8,1,6.8
2012,La Liga,Getafe,Miguel Torres,26,D(CLR) ,184,74,20(1),21,20,1,1740,-,-,6,-,0.1,73.2,1.7,1,6.77
2012,La Liga,Getafe,Adri‡n Colunga,27,AM(L)^FW ,169,64,15(7),22,15,7,1286,6,6,4,-,2,64.3,0.4,2,6.77
2012,La Liga,Getafe,David Abraham,26,D(C) ,188,85,9,9,9,0,772,-,-,1,-,0.6,75.8,2.4,-,6.76
2012,La Liga,Getafe,Alberto Lopo,32,D(C) ,186,82,17(4),21,17,4,1671,1,1,9,-,0.4,74.6,2,1,6.75
2012,La Liga,Getafe,Man_,30,D(L) ,175,68,12(1),13,12,1,1017,1,2,1,-,0.7,76.2,0.5,-,6.74
2012,La Liga,Getafe,M’chel26632,26,DM(C) ,183,72,13(4),17,13,4,1094,-,-,9,1,0.4,76.1,1.6,-,6.7
2012,La Liga,Getafe,Diego Castro,30,AM(CLR) ,174,70,30(4),34,30,4,2645,7,3,10,1,1.6,76.7,0.4,-,6.65
2012,La Liga,Getafe,Xavi Torres,25,DM(C) ,184,82,32(3),35,32,3,2832,-,2,7,-,0.7,80.2,0.8,-,6.62
2012,La Liga,Getafe,çngel Lafita,28,AM(CLR)^FW ,187,73,17(9),26,17,9,1707,2,-,5,-,1.8,69,1.7,-,6.59
2012,La Liga,Getafe,Mehdi Lacen,28,M(C) ,176,70,10(10),20,10,10,931,-,-,2,-,0.5,75.2,0.8,-,6.48
2012,La Liga,Getafe,Miku,27,FW ,186,72,2,2,2,0,161,-,-,-,-,2,72.4,-,-,6.46
2012,La Liga,Getafe,Paco Alc‡cer,19,FW ,183,74,6(14),20,6,14,687,3,1,-,-,1,70.8,0.6,-,6.36
2012,La Liga,Getafe,Hugo Fraile,25,FW ,176,73,0(3),3,0,3,71,-,-,-,-,0.3,84.2,-,-,6.32
2012,La Liga,Getafe,Pablo Sarabia,20,AM(CLR) ,176,70,3(10),13,3,10,419,1,-,2,-,1,65.1,0.4,-,6.3
2012,La Liga,Getafe,Jaime Gavil‡n,27,AM(CL) ,177,73,10(12),22,10,12,903,-,2,4,-,0.5,76.4,0.3,-,6.3
2012,La Liga,Getafe,çlvaro V‡zquez,21,FW ,182,71,14(15),29,14,15,1332,4,-,2,-,1,73.4,0.3,-,6.28
2012,La Liga,Levante,Keylor Navas,25,GK ,185,78,9,9,9,0,810,-,-,-,-,-,41.2,1.1,3,7.24
2012,La Liga,Levante,Vicente Iborra,24,DM(C) ,195,88,35,35,35,0,3074,4,-,12,1,1,74,2.4,2,7.06
2012,La Liga,Levante,Juanfran1324,36,D(CL) ,183,78,28(1),29,28,1,2516,-,3,8,-,0.4,63.1,1.5,2,7.02
2012,La Liga,Levante,Simao,24,DM(C) ,178,76,2(2),4,2,2,253,-,-,1,-,0.3,81.9,2.3,-,6.94
2012,La Liga,Levante,Pape Diop,26,DM(C) ,180,73,32,32,32,0,2571,-,-,10,1,0.7,71.2,1.5,-,6.93
2012,La Liga,Levante,Pedro L—pez10067,28,D(R)^M(R) ,174,72,16(1),17,16,1,1485,-,1,8,2,0.2,73.6,0.6,-,6.82
2012,La Liga,Levante,Gustavo Munœa,34,GK ,188,87,29,29,29,0,2610,-,1,3,-,-,34.8,0.3,1,6.81
2012,La Liga,Levante,Loukas Vyntra,31,D(CR) ,184,80,15,15,15,0,1350,-,-,4,-,0.3,72.7,1.1,-,6.81
2012,La Liga,Levante,Dariusz Dudka,28,D(CLR)^DM(C) ,182,71,1(2),3,1,2,123,-,-,-,-,-,78.1,1.3,-,6.81
2012,La Liga,Levante,David Navarro,32,D(C) ,188,82,35,35,35,0,3140,1,2,8,1,0.4,74.8,1.9,-,6.79
2012,La Liga,Levante,M’chel106868,24,M(CR) ,181,72,20(17),37,20,17,1951,4,6,6,-,0.9,74.7,0.6,-,6.78
2012,La Liga,Levante,Obafemi Martins,28,FW ,171,70,18(3),21,18,3,1714,7,2,6,-,1.6,76.5,1.7,2,6.76
2012,La Liga,Levante,H_ctor Rodas,24,D(C) ,190,80,5(5),10,5,5,581,-,-,2,-,-,72.6,1.3,-,6.76
2012,La Liga,Levante,Rub_n Garc’a,19,AM(CLR) ,171,72,21(10),31,21,10,1861,4,3,4,-,1,69.6,0.2,1,6.68
2012,La Liga,Levante,Nikos Karabelas,27,D(L) ,179,77,7(2),9,7,2,655,-,1,-,1,0.3,66.9,0.4,-,6.68
2012,La Liga,Levante,Barkero,33,M(CL) ,180,71,25(3),28,25,3,2193,5,1,5,-,2,65.4,1.5,2,6.65
2012,La Liga,Levante,Ballesteros,37,D(C) ,188,93,26,26,26,0,2284,-,1,10,-,0.2,64.4,1,-,6.6
2012,La Liga,Levante,Pedro R’os,30,AM(CLR) ,175,72,16(10),26,16,10,1450,2,1,4,-,1,64,1,-,6.59
2012,La Liga,Levante,Chris5954,28,D(R) ,180,80,20(1),21,20,1,1775,2,-,2,1,0.4,71.5,0.5,-,6.55
2012,La Liga,Levante,Nabil El Zhar,26,AM(CLR) ,175,66,21(10),31,21,10,1700,2,1,5,-,1.1,72.1,0.4,1,6.54
2012,La Liga,Levante,Juanlu,32,AM(L) ,173,70,14(11),25,14,11,1254,2,-,6,-,1,66.1,0.2,-,6.48
2012,La Liga,Levante,Robert Acquafresca,25,FW ,184,67,12(1),13,12,1,962,3,-,1,-,1.9,75.9,0.9,-,6.41
2012,La Liga,Levante,Valdo,31,M(CR) ,184,78,6(7),13,6,7,656,-,1,2,-,0.7,71.1,1.2,-,6.25
2012,La Liga,Levante,Theofanis Gekas,32,FW ,179,76,2(2),4,2,2,235,-,1,-,-,-,66.7,0.8,-,6.18
2012,La Liga,Levante,çngel22325,25,FW ,172,64,2(8),10,2,8,283,1,1,-,-,0.8,79.2,0.5,-,6.18
2012,La Liga,Levante,Roger,21,FW ,179,74,2(13),15,2,13,315,1,-,1,-,0.8,70.7,0.3,-,6.17
2012,La Liga,Levante,Miguel Pallard—,26,DM(C) ,173,73,0(5),5,0,5,59,-,-,-,-,-,70.4,0.2,-,6.16
2012,La Liga,Athletic Club,Markel Susaeta,24,AM(CLR) ,179,67,36,36,36,0,3092,7,7,7,1,1.7,78.5,0.4,3,7.17
2012,La Liga,Athletic Club,Ander Herrera,23,M(CLR) ,182,70,29,29,29,0,2477,1,2,10,2,1.9,80.9,0.7,2,7.11
2012,La Liga,Athletic Club,Gorka Iraizoz,31,GK ,191,87,35,35,35,0,3150,-,-,4,-,-,64.7,0.5,1,7.02
2012,La Liga,Athletic Club,Mikel San Jos_,23,D(C)^DM(C) ,186,77,23(11),34,23,11,2230,5,-,8,-,0.5,78.5,2.2,3,6.97
2012,La Liga,Athletic Club,Aymeric Laporte,18,D(CL) ,189,85,14(1),15,14,1,1261,-,-,5,2,0.4,83.7,1.3,1,6.97
2012,La Liga,Athletic Club,Fernando Amorebieta,27,D(CL) ,192,85,10(1),11,10,1,908,-,-,4,1,0.6,78.8,2.8,-,6.94
2012,La Liga,Athletic Club,Carlos Gurpegi,32,D(C)^M(CR) ,181,75,24(3),27,24,3,2051,1,-,14,-,0.2,85.9,2.1,-,6.91
2012,La Liga,Athletic Club,Aritz Aduriz,31,FW ,182,78,33(3),36,33,3,2688,14,6,11,1,2.3,72.5,2.6,2,6.9
2012,La Liga,Athletic Club,I–igo P_rez,24,D(L)^DM(C) ,178,74,5,5,5,0,401,-,1,2,-,0.6,76.9,0.8,-,6.86
2012,La Liga,Athletic Club,Borja Ekiza,24,D(C) ,180,73,23(1),24,23,1,2062,-,-,3,-,0.1,88.5,1.3,-,6.85
2012,La Liga,Athletic Club,îscar De Marcos,23,D(LR)^M(CLR) ,180,76,36,36,36,0,3147,6,3,14,-,1.7,77.8,1,-,6.8
2012,La Liga,Athletic Club,Ibai G—mez,22,AM(L) ,177,72,17(18),35,17,18,1954,4,8,1,-,1.8,73.1,0.2,2,6.77
2012,La Liga,Athletic Club,Ander Iturraspe,23,DM(C) ,187,74,27(3),30,27,3,2267,-,1,12,1,0.4,81,2.3,1,6.73
2012,La Liga,Athletic Club,Andoni Iraola,30,D(R) ,182,75,34(1),35,34,1,3063,-,3,5,-,0.3,79.8,0.8,-,6.7
2012,La Liga,Athletic Club,Jon Aurtenetxe,20,D(CL) ,182,82,24(3),27,24,3,2036,1,3,2,-,0.4,74.7,1.6,1,6.7
2012,La Liga,Athletic Club,Iker Muniain,19,AM(CLR) ,169,63,27(6),33,27,6,2254,1,1,7,1,0.8,81.3,0.2,-,6.67
2012,La Liga,Athletic Club,Xabier Castillo,26,D(L) ,184,75,3(4),7,3,4,299,-,-,-,-,0.4,68.7,1.1,-,6.58
2012,La Liga,Athletic Club,Ruiz de Galarreta,19,M ,174,66,0(3),3,0,3,140,-,1,-,-,0.7,84.2,0.3,-,6.56
2012,La Liga,Athletic Club,Raœl Fern‡ndez,24,GK ,196,88,3,3,3,0,270,-,-,-,-,-,68,-,-,6.55
2012,La Liga,Athletic Club,Fernando Llorente,27,FW ,195,90,4(22),26,4,22,870,4,1,2,-,1.4,70.4,1.5,1,6.49
2012,La Liga,Athletic Club,Jon‡s Ramalho,19,D(R) ,181,68,4(2),6,4,2,350,-,-,-,-,0.3,78.5,0.3,-,6.45
2012,La Liga,Athletic Club,Isma L—pez,22,AM(L) ,180,76,6(2),8,6,2,483,-,-,-,-,0.3,76.4,0.3,-,6.37
2012,La Liga,Athletic Club,Erik Mor‡n,21,DM(C) ,187,74,0(1),1,0,1,9,-,-,-,-,-,90,-,-,6.18
2012,La Liga,Athletic Club,Igor Mart’nez,23,AM(C) ,170,65,0(3),3,0,3,107,-,-,1,-,0.7,72.5,-,-,6.18
2012,La Liga,Athletic Club,Gaizka Toquero,28,AM(CR)^FW ,182,78,1(15),16,1,15,214,-,-,1,-,0.3,78.9,0.2,-,6.1
2012,La Liga,Espanyol,Javi L—pez,26,D(R)^DM(C) ,180,76,28(4),32,28,4,2567,1,-,8,1,0.4,63.4,1.2,2,7.09
2012,La Liga,Espanyol,V’ctor S‡nchez,25,D(R)^M(C) ,174,72,33,33,33,0,2745,1,1,17,1,0.8,75,2,1,7.06
2012,La Liga,Espanyol,Mubarak Wakaso,22,AM(LR) ,171,66,23(3),26,23,3,1953,3,6,13,2,1.7,73.2,0.8,1,7.01
2012,La Liga,Espanyol,çlvaro V‡zquez,21,FW ,182,71,2,2,2,0,145,1,-,-,-,3,77.8,-,-,7
2012,La Liga,Espanyol,Diego Colotto,31,D(C) ,184,83,28,28,28,0,2469,2,1,7,1,0.6,62.9,1.7,3,6.94
2012,La Liga,Espanyol,Kiko Casilla,26,GK ,191,84,20(1),21,20,1,1822,-,-,4,-,-,38.3,0.8,1,6.91
2012,La Liga,Espanyol,H_ctor Moreno,24,D(C) ,183,80,31(1),32,31,1,2775,2,2,8,1,0.4,76.2,2.4,1,6.91
2012,La Liga,Espanyol,Juan Forl’n,24,D(C)^DM(C) ,180,77,32(1),33,32,1,2777,-,-,16,1,0.3,72.6,3.2,-,6.85
2012,La Liga,Espanyol,Cristian çlvarez,26,GK ,185,85,18,18,18,0,1599,-,-,6,-,-,49.3,0.2,1,6.85
2012,La Liga,Espanyol,Sergio Garc’a,29,AM(CR)^FW ,174,72,27(1),28,27,1,2409,7,5,4,1,2.1,65.6,0.4,2,6.84
2012,La Liga,Espanyol,Christian Stuani,26,AM(CR)^FW ,186,77,21(11),32,21,11,2161,7,4,14,-,1.5,59.5,3.1,-,6.81
2012,La Liga,Espanyol,V’ctor çlvarez,19,D(L) ,178,71,13(5),18,13,5,1191,-,2,1,1,0.2,67.6,1.2,-,6.7
2012,La Liga,Espanyol,Joan Verdœ,29,M(C) ,178,71,36(1),37,36,1,3131,9,3,7,-,1.6,80.5,0.4,-,6.7
2012,La Liga,Espanyol,Raœl Rodr’guez,25,D(CR)^DM(C) ,183,70,18(5),23,18,5,1686,-,-,4,1,0.3,78.8,1.7,2,6.68
2012,La Liga,Espanyol,Felipe Mattioni,24,D(R) ,180,75,4(2),6,4,2,374,-,-,2,-,0.2,79.3,0.3,-,6.6
2012,La Liga,Espanyol,Sim‹o,32,AM(CLR) ,170,64,18(8),26,18,8,1531,3,2,5,-,0.5,75.5,0.5,-,6.59
2012,La Liga,Espanyol,Joan Capdevila,34,D(L) ,182,78,25(1),26,25,1,2257,-,-,6,-,0.5,71.5,1,1,6.56
2012,La Liga,Espanyol,Raœl Baena,23,DM(C) ,179,73,11(8),19,11,8,1012,1,1,6,-,0.7,77.9,1.2,-,6.48
2012,La Liga,Espanyol,Rui Fonte,22,AM(R) ,181,73,5(5),10,5,5,493,-,-,2,-,1,74.5,1.3,-,6.44
2012,La Liga,Espanyol,Samuele Longo,20,FW ,185,75,11(7),18,11,7,1011,3,-,3,1,1.5,55.9,0.9,-,6.43
2012,La Liga,Espanyol,Cristian Alfonso,23,M ,183,77,2(11),13,2,11,303,-,-,1,-,0.4,64.8,0.2,-,6.24
