Season Start Year,League,Team,Info,Name,Age,POS,CM,KG,Apps Combined,Apps,Starts,Subs,Mins,Goal,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
2013,La Liga,Barcelona,Ibrahim Afellay Barcelona/28/AM(L) ,Ibrahim Afellay,27,AM(L) ,180,76,0(1),1,0,1,3,-,-,-,-,-,100,-,-,6.06
2013,La Liga,Real Madrid,Cristiano Ronaldo Real Madrid/29/AM(LR)^FW ,Cristiano Ronaldo,28,AM(LR)^FW ,185,80,30,30,30,0,2563,31,9,4,1,7.2,80.2,1.8,10,8.26
2013,La Liga,Real Madrid,Gareth Bale Real Madrid/25/D(L)^M(CLR) ,Gareth Bale,24,D(L)^M(CLR) ,183,74,24(3),27,24,3,2080,15,12,3,-,3.3,76.3,1.1,4,7.75
2013,La Liga,Real Madrid,Ángel Di María Real Madrid/26/AM(CLR) ,Ángel Di María,25,AM(CLR) ,180,70,27(7),34,27,7,2402,4,17,6,-,1.9,82.1,-,2,7.46
2013,La Liga,Real Madrid,Sergio Ramos Real Madrid/28/D(CR) ,Sergio Ramos,27,D(CR) ,183,75,32,32,32,0,2832,4,1,10,2,1.3,88.8,4.3,6,7.46
2013,La Liga,Real Madrid,Karim Benzema Real Madrid/26/AM(LR)^FW ,Karim Benzema,25,AM(LR)^FW ,187,79,34(1),35,34,1,2799,17,9,2,-,2.9,81.9,0.7,1,7.44
2013,La Liga,Real Madrid,Pepe Real Madrid/31/D(C)^DM(C) ,Pepe,30,D(C)^DM(C) ,188,81,30,30,30,0,2700,4,2,9,-,0.6,85.9,2.9,-,7.42
2013,La Liga,Real Madrid,Isco Real Madrid/22/AM(CL) ,Isco,21,AM(CL) ,176,74,23(9),32,23,9,2014,8,6,1,-,1.4,88.1,0.4,4,7.41
2013,La Liga,Real Madrid,Luka Modric Real Madrid/29/M(CLR) ,Luka Modric,28,M(CLR) ,174,65,29(5),34,29,5,2656,1,6,6,-,1.1,89.7,0.4,-,7.31
2013,La Liga,Real Madrid,Marcelo Real Madrid/26/D(L)^M(CL) ,Marcelo20241,25,D(L)^M(CL) ,174,75,24(4),28,24,4,2182,1,6,3,-,1,85,0.6,-,7.27
2013,La Liga,Real Madrid,Mesut Özil Real Madrid/26/AM(CLR) ,Mesut Özil,25,AM(CLR) ,183,76,2,2,2,0,137,-,-,-,-,0.5,83.3,-,-,7.23
2013,La Liga,Real Madrid,Daniel Carvajal Real Madrid/22/D(R) ,Daniel Carvajal,21,D(R) ,173,73,25(6),31,25,6,2237,2,2,5,-,0.2,86.7,1.2,1,7.22
2013,La Liga,Real Madrid,Xabi Alonso Real Madrid/32/DM(C) ,Xabi Alonso,31,DM(C) ,183,77,23(3),26,23,3,2030,-,1,5,-,0.3,88,2,1,7.06
2013,La Liga,Real Madrid,Asier Illarramendi Real Madrid/24/DM(C) ,Asier Illarramendi,23,DM(C) ,179,76,15(14),29,15,14,1403,2,1,3,-,0.3,88.9,0.7,2,6.94
2013,La Liga,Real Madrid,Raphaël Varane Real Madrid/21/D(C)^DM(C) ,Raphaël Varane,20,D(C)^DM(C) ,191,78,12(2),14,12,2,1086,-,1,1,-,0.1,89.1,1.9,-,6.89
2013,La Liga,Real Madrid,Álvaro Arbeloa Real Madrid/31/D(LR) ,Álvaro Arbeloa,30,D(LR) ,184,79,14(4),18,14,4,1325,-,-,7,-,0.1,91.6,1,-,6.81
2013,La Liga,Real Madrid,Fábio Coentrão Real Madrid/26/D(L) ,Fábio Coentrão,25,D(L) ,179,70,8(2),10,8,2,665,-,-,1,-,0.3,82.8,0.6,-,6.81
2013,La Liga,Real Madrid,Diego López Real Madrid/32/GK ,Diego López,31,GK ,196,88,36,36,36,0,3240,-,-,-,-,-,69,0.2,-,6.81
2013,La Liga,Real Madrid,Nacho Real Madrid/24/D(CLR) ,Nacho106875,23,D(CLR) ,179,75,8(4),12,8,4,812,-,1,2,-,0.2,91.5,0.8,-,6.8
2013,La Liga,Real Madrid,Sami Khedira Real Madrid/27/DM(C) ,Sami Khedira,26,DM(C) ,189,85,12(1),13,12,1,981,1,1,4,-,0.6,86.5,0.7,-,6.76
2013,La Liga,Real Madrid,Jesé Real Madrid/21/AM(R) ,Jesé,20,AM(R) ,178,73,4(14),18,4,14,594,5,4,-,-,1.2,83.8,0.1,-,6.66
2013,La Liga,Real Madrid,Álvaro Morata Real Madrid/22/FW ,Álvaro Morata,21,FW ,187,80,3(20),23,3,20,560,8,-,2,-,1.7,69.2,0.9,-,6.65
2013,La Liga,Real Madrid,Casemiro Real Madrid/22/DM(C) ,Casemiro,21,DM(C) ,184,76,1(11),12,1,11,274,-,1,-,-,0.3,86.2,0.4,-,6.45
2013,La Liga,Real Madrid,Willian José Real Madrid/22/FW ,Willian José,21,FW ,186,81,0(1),1,0,1,21,-,-,-,-,2,40,2,-,6.34
2013,La Liga,Real Madrid,Iker Casillas Real Madrid/33/GK ,Iker Casillas,32,GK ,185,84,2,2,2,0,180,-,-,-,-,-,78.1,-,-,6.2
2013,La Liga,Real Madrid,Diego Llorente Real Madrid/21/D ,Diego Llorente,20,D ,185,74,0(1),1,0,1,17,-,-,-,-,-,87.5,-,-,6.14
